message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""55537a85-4e11-48e7-805b-16e86df79b40"",""environment"":""4cdafa85-9969-4912-ae98-ab2ac2d9313a"",""service"":""f01309cd-4e41-4748-8284-be11b747681c"",""deployment"":""05eafa3c-a012-461b-89b7-aa0927fd0470"",""replica"":""5efcaa3c-3060-4759-b3f9-9631e04070f2""}",2026-04-14T12:41:43.262474538Z
"  File ""/opt/venv/lib/python3.12/site-packages/click/core.py"", line 1485, in __call__",error,"{""level"":""error""}","{""project"":""55537a85-4e11-48e7-805b-16e86df79b40"",""environment"":""4cdafa85-9969-4912-ae98-ab2ac2d9313a"",""service"":""f01309cd-4e41-4748-8284-be11b747681c"",""deployment"":""05eafa3c-a012-461b-89b7-aa0927fd0470"",""replica"":""5efcaa3c-3060-4759-b3f9-9631e04070f2""}",2026-04-14T12:41:45.163601678Z
"    return self.main(*args, **kwargs)",error,"{""level"":""error""}","{""project"":""55537a85-4e11-48e7-805b-16e86df79b40"",""environment"":""4cdafa85-9969-4912-ae98-ab2ac2d9313a"",""service"":""f01309cd-4e41-4748-8284-be11b747681c"",""deployment"":""05eafa3c-a012-461b-89b7-aa0927fd0470"",""replica"":""5efcaa3c-3060-4759-b3f9-9631e04070f2""}",2026-04-14T12:41:45.163612140Z
           ^^^^^^^^^^^^^^^^^^^^^^^^^^,error,"{""level"":""error""}","{""project"":""55537a85-4e11-48e7-805b-16e86df79b40"",""environment"":""4cdafa85-9969-4912-ae98-ab2ac2d9313a"",""service"":""f01309cd-4e41-4748-8284-be11b747681c"",""deployment"":""05eafa3c-a012-461b-89b7-aa0927fd0470"",""replica"":""5efcaa3c-3060-4759-b3f9-9631e04070f2""}",2026-04-14T12:41:45.163619145Z
"  File ""/opt/venv/lib/python3.12/site-packages/click/core.py"", line 1406, in main",error,"{""level"":""error""}","{""project"":""55537a85-4e11-48e7-805b-16e86df79b40"",""environment"":""4cdafa85-9969-4912-ae98-ab2ac2d9313a"",""service"":""f01309cd-4e41-4748-8284-be11b747681c"",""deployment"":""05eafa3c-a012-461b-89b7-aa0927fd0470"",""replica"":""5efcaa3c-3060-4759-b3f9-9631e04070f2""}",2026-04-14T12:41:45.163625515Z
    rv = self.invoke(ctx),error,"{""level"":""error""}","{""project"":""55537a85-4e11-48e7-805b-16e86df79b40"",""environment"":""4cdafa85-9969-4912-ae98-ab2ac2d9313a"",""service"":""f01309cd-4e41-4748-8284-be11b747681c"",""deployment"":""05eafa3c-a012-461b-89b7-aa0927fd0470"",""replica"":""5efcaa3c-3060-4759-b3f9-9631e04070f2""}",2026-04-14T12:41:45.163633864Z
         ^^^^^^^^^^^^^^^^,error,"{""level"":""error""}","{""project"":""55537a85-4e11-48e7-805b-16e86df79b40"",""environment"":""4cdafa85-9969-4912-ae98-ab2ac2d9313a"",""service"":""f01309cd-4e41-4748-8284-be11b747681c"",""deployment"":""05eafa3c-a012-461b-89b7-aa0927fd0470"",""replica"":""5efcaa3c-3060-4759-b3f9-9631e04070f2""}",2026-04-14T12:41:45.163641197Z
"  File ""/opt/venv/lib/python3.12/site-packages/click/core.py"", line 1269, in invoke",error,"{""level"":""error""}","{""project"":""55537a85-4e11-48e7-805b-16e86df79b40"",""environment"":""4cdafa85-9969-4912-ae98-ab2ac2d9313a"",""service"":""f01309cd-4e41-4748-8284-be11b747681c"",""deployment"":""05eafa3c-a012-461b-89b7-aa0927fd0470"",""replica"":""5efcaa3c-3060-4759-b3f9-9631e04070f2""}",2026-04-14T12:41:45.163646911Z
"    return ctx.invoke(self.callback, **ctx.params)",error,"{""level"":""error""}","{""project"":""55537a85-4e11-48e7-805b-16e86df79b40"",""environment"":""4cdafa85-9969-4912-ae98-ab2ac2d9313a"",""service"":""f01309cd-4e41-4748-8284-be11b747681c"",""deployment"":""05eafa3c-a012-461b-89b7-aa0927fd0470"",""replica"":""5efcaa3c-3060-4759-b3f9-9631e04070f2""}",2026-04-14T12:41:45.163652638Z
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^,error,"{""level"":""error""}","{""project"":""55537a85-4e11-48e7-805b-16e86df79b40"",""environment"":""4cdafa85-9969-4912-ae98-ab2ac2d9313a"",""service"":""f01309cd-4e41-4748-8284-be11b747681c"",""deployment"":""05eafa3c-a012-461b-89b7-aa0927fd0470"",""replica"":""5efcaa3c-3060-4759-b3f9-9631e04070f2""}",2026-04-14T12:41:45.163659751Z
